listing_id,id,date,reviewer_name,comments,listing_name,host_id,host_name
120230,3208959,1/1/2013,Susan,very nice place- well located. Only disadvantages: a little bit dark view of adjacent condo wall. ,Darling Condo Near Zilker Park,360967,Lisa
727748,3208061,1/1/2013,Jennifer,"I rented Anne's house for a long weekend family gathering post Christmas / pre New Years.

Renter: Anne was nice and helpful. She stocked Coffee Milk Juice and fruits for us to use. There were even toiletries in little baskets in the bathrooms for us to use. She was in the city and easy to contact and stopped by to welcome us. 

House:
Pros: 
-The design of the house was very cool looking.
-There were different comfortable areas to sit and hang out.
-With four bedrooms it felt very comfortable for our group of seven people. 
-The master shower is pretty huge with four different shower heads that can all turn on at the same time.
-There was a Christmas tree and lights which gave the house a nice festive touch.
-In addition to the wifi there was a computer in the kitchen that we used to play music which was awesome.  
-The location was convenient.
-The neighborhood was cute and quiet. In warmer months walking around would be nice.
-In warmer months the back yard looks like it'd be a nice place to hang out drink coffee talk etc. 
Cons: 
-The house was kinda loud. Some people liked to go to bed earlier than others and in every room even the master bedroom you could hear the people in the common areas.  
- If you don't own a dog have allergies wear black pants or like to walk around barefoot then you may notice that this is a home that has a dog. We found dog hair all over the floor and all over the couches. Wasn't terrible only one seat had a dog smell which was probably his favorite spot. The dog owners didn't notice but it did bother some people.
- We paid a $40 cleaning fee and the house rules made throwing the sheets in the laundry room and the starting the dishwasher seem more like a rule than a suggestion. We would have done it either way but it seemed strange for a rule considering the cleaning fee.

The overall consensus of my group was that we'd be happy to rent this house in the future but it we would also be open to renting other homes. ",ACL. Formula 1. SXSW-Perfect Home!,3771301,Anne
781716,3210559,1/1/2013,Traci,This house is an absolutely fabulous location! Polvos and Bouldin Creek are two of my fav Austin eateries and both are just down the street! The interior is cute; with a funky Austin vibe. All the amenities you could ask for! I would definitely recommend this place!,Atomic Ranch in Nucleus of S Austin,880571,Angel
69352,3212931,1/1/2013,Dana,"Great little romantic cottage in the Zilker neighborhood.  My husband is a chef we run an event business in CA and came to Austin to ""eat"" our way a ruined town.  This cottage was casual and elegant with full kitchen very cozy bed and everything we needed to make our stay enjoyable.  It is obvious that Sovay is a detail oriented host!  Everything was great and the location was excellent for accessing all the eateries we wanted to explore including:  Barley Swine Lenoir Olivia Uchiko Congress Cafe 24 Diner and many of the food trucks and trailers that Austin is famous for.  Would recommend this cottage to anyone!  Will come back in the summer to enjoy all the water oriented fun on the river.  Thanks Sovay and  your assistant Megan!",Enchanting Zilker Cottage~Downtown,347068,Sovay
72706,3205671,1/1/2013,Kevin,Susan's home is in a great location and the inside is beautiful.  I highly recommend it.  ,Walkable Charming & Central Home,377618,Susan
406911,3213313,1/1/2013,Bobby,Cynthia and Jim were fantastic hosts!  Comfortable home great dogs and coffee and bagels when we woke.  Cheers!,COZY SOCO APT+MASSAGE+SCREENPORCH,1652515,Cynthia
27632,3214137,1/1/2013,Ken,great host great location. ,Clarksville Condo - Minutes to DT!,119441,Angele
57187,3225520,1/2/2013,Will,"Girlfriend and I travelled to Austin for New Years.  We needed a place close to 6th street ($10 cab ride) but also wanted a place that was uniquely ""Austin"".  Lois's place nails it!  I could have spent weeks here.  So relaxing and perfect for people that want to truly experience Austin and all the amazing things that come with with this one of a kind city.  Highly recommended! ",Zilker Park Fun Funky Peaceful,272156,Lois
400517,3236675,1/2/2013,Tamar,"Steven is a great host he was incredibly helpful and informative. Told us about many places to go in Austin and even brought us downtown when our taxi didn't show up on New Years Eve...!!
The room has a really good bed and is clean as is the bathroom. We couldn't have wished for more.
Definitely advise to go stay with this very friendly host!!",Room/Bike/Pool on Town Lake Trail,1649731,Steven
78974,3236081,1/2/2013,Isaac,Efficient communicative clean and very friendly. This was my first experience with airbnb and I absolutely loved it.  Would have zero hesitations recommending Dan's place for anyone in Austin looking for a place to sleep economically., 78704 Detached Garden  Cottage ,424835,Dan
