listing_id,id,date,reviewer_name,comments,listing_name,host_id,host_name
57187,162766,1/2/2011,Kathre,Lois was so acommodating and she was very warm and welcoming. Her location is great the space is truly magical and the energy is relaxing. I highly recommend this space.,Zilker Park Fun Funky Peaceful,272156,Lois
27632,163600,1/3/2011,Liz,The condo was great. It was very clean and a great location. It was a 15 min walk to town lake. Will definitely recommend to friends and stay there again!,Clarksville Condo - Minutes to DT!,119441,Angele
5456,163386,1/3/2011,Joe,Sylvia is an absolutely amazing host!  The location is absolutely perfect!  I couldn't think of a better place to stay if I were coming for SXSW.  You get a beautiful place with a bathroom and kitchen.  She's also one of the nicest people I've met in Austin and that's saying something!,Walk to 6th St and Convention Ctr,8028,Sylvia
6251,165706,1/4/2011,Michael,I had  lovely time staying in the loft. It's very open clean and airy. The airTunes was a plus and there's a fantastic coffee shop  downstairs with a killer latte. Frederick was extremely accommodating and brought us some great coffee beans. Would definitely stay here when in Austin next!,Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5769,166580,1/5/2011,Ed,I was new to airbnb and was very happy with my stay.  it was nice meeting elizabeth she was very easy to talk to and I felt very comfortable staying in her home.,NW Austin Rooms,8186,Elizabeth
5456,167154,1/6/2011,Scott,I loooved the place.  Very neat super comfortable great location and everything available for a feeling of home away from home.  Thank you Sylvia I have already told some of my friends. ,Walk to 6th St and Convention Ctr,8028,Sylvia
27632,168473,1/9/2011,Katy,The place was in a great location it had everything we needed we had a reserved parking and it was very clean Angele offered us help with anything we needed. If I needed again a rental in Austin it definitely would be here. The neighborhood was great to take walks and everybody around was so friendly.,Clarksville Condo - Minutes to DT!,119441,Angele
5769,168577,1/9/2011,Nancy,"My son and I had a wonderful stay at Elizabeths home. She and David were great with helping me. I lost my map and David met me to guide us to the home. Their home is easy access off the interstate. My son really enjoyed meeting Jake.

Nancy & Jamey Bond",NW Austin Rooms,8186,Elizabeth
5769,169182,1/10/2011,Adam,The house was clean spacious and easy to find. Had the weather been better I would have taken advantage of the back patio. The only drawback was the 20 minute drive on Austin's serpentine collection of highways but not necessarily a drawback unless you stat during the week when you have to contend with rush hour.,NW Austin Rooms,8186,Elizabeth
27632,170985,1/16/2011,Mekala,"I stayed here January 9 to January 15 and unfortunately Austin was in the 30s and 40s temperature wise; the heater in the apartment works great!  The rental is in a great location.  For people without rental cars it's on a direct bus line to Whole Foods (I walked there but it's about a 10 minute walk and there are hills) UT-Austin and downtown.

Angele is a great host and she responded to my questions quickly while I was in Austin.",Clarksville Condo - Minutes to DT!,119441,Angele
5769,172401,1/19/2011,Lauren,Elizabeth and David are wonderful hosts. They went out of the way to make us feel at home including sharing their seafood dinner with us. Yum! We stayed at their South Austin house for a couple of weeks and had a great time. Thanks!,NW Austin Rooms,8186,Elizabeth
5456,172503,1/19/2011,Anthony,Great place close to everything you would want to see in Austin. Sylvia was kind and helpful.,Walk to 6th St and Convention Ctr,8028,Sylvia
68130,172553,1/19/2011,M,A nice little apartment clean and tidy. Pluses are the interesting neighborhood and congeniality of the hosts. No real complaints except lack of heat during an unusually cold January which Drew remedied with a brand new heater. Watch out though for the tiles at the bottom of the stairs - they are slippy when wet! A very nice place for a short stay.,Hyde Park Flat - Bamboo Floors,336916,Drew
5456,172682,1/20/2011,Lauren,Thank you so much Sylvia! Your studio was the perfect place for us to relax after the photography convention in San Antonio.  I just wished we could have stayed longer.  Wonderful to have met you and we will be back the next time we are in Austin!,Walk to 6th St and Convention Ctr,8028,Sylvia
69352,173143,1/21/2011,Comet,"Imagine a home perfect in every way for a place right around the corner from downtown Austin and this describes Sovay`s home. 

Sovay's place was exactly as she described. It's in a great location and is an absolute bargain for staying in such a convenient spot. It was clean neat and comfortable. She was a pleasure to deal with and she really made me feel home.

I had my absolute privacy.  Bathroom was private and right next to my bedroom.  There was an LCD TV on the wall in the bedroom but I preferred surfing online on my notebook in the living room.  Cappuccino maker as well as some other small kitchen appliances are brand new for guests service.  If you prefer having your coffee outside you have many options at Sovay`s wonderful suggestions.

It was a great experience being a guest her home you might want to have-
",Enchanting Zilker Cottage~Downtown,347068,Sovay
68130,173768,1/23/2011,Ashley,"Drew and Simone are absolutely wonderful hosts! My boyfriend and I enjoyed our stay with them so much that we had to add on an extra day :) 
The flat was the perfect size extremely clean and included everything we needed. ",Hyde Park Flat - Bamboo Floors,336916,Drew
57187,176492,1/31/2011,Amy,"Had a brilliant stay at this fun little place!  It was perfect for my needs - a place to sleep and a calm place to relax in after a very stressful day in Austin.  Lois was helpful and a lovely hostess.  Between the artwork around the property the the plethora of pillows and blankets and the calmly energetic vibe of the place I would definitely recommend this little gem.  

Thanks to its proximity to S. Lamar there are tons of things to do in the area and everything felt close by.  I know I will definitely try to stay there again the next time I'm in town.  ",Zilker Park Fun Funky Peaceful,272156,Lois
5769,177349,2/1/2011,Stephen,This was my first experience with airbnb and I will without a doubt be using this service again thanks in no small part to Elizabeth. She made my stay incredibly easy and comfortable and I highly suggest to anyone coming to the Austin area to stay with these great people. Thanks again Elizabeth!,NW Austin Rooms,8186,Elizabeth
68130,177205,2/1/2011,Natalie,Staying at Drew's flat was our first airbnb experience and it could not have gone better.We were greeted by Drew and his whole family we even got to meet their feathered friends one of whom had recently laid her first egg! The apt was top notch so clean and comfortable. It  actually was even nicer than the photo's let on! Really loved the decor and the semi circle shower stand was awesome so modern I was secretly stealing design ideas! We were very impressed with the flat and plan to stay here again. Thank you Drew and family for being so warm and welcoming.,Hyde Park Flat - Bamboo Floors,336916,Drew
69352,177635,2/2/2011,Eric,sovay was great. very kind and attentive. the room is perfect for one but was a bit small for two.  the bed flat screen location access to kitchen and laundry were all excellent. ,Enchanting Zilker Cottage~Downtown,347068,Sovay
69352,178228,2/4/2011,Laurie,Sovay was a wonderful hostess! She was very accommodating had great recommendations and her home was warm and inviting. I felt right at home. The location is also perfect for checking out Austin- very close to great restaurants yoga studios cafes shopping. I'll definitely be back!,Enchanting Zilker Cottage~Downtown,347068,Sovay
6251,179429,2/7/2011,Avni,"Location was great! Lots of restaurants and bars within walking distance. The loft was spacious and decorated. One dislike about the loft was that it seemed like the host had recently stayed there. 
Fred was very accomodating to our travel plans and left precious instructions and recommendations!",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
