listing_id,id,date,reviewer_name,comments,listing_name,host_id,host_name
6251,22326,1/1/2010,Christopher,Immaculately clean super spacious handsome view of the skyline from a great location on E. 6th...not sure what else to say! Fred was awesome and easy going and was flexible with our check out on New Year's day to help us get 2010 off to a fantastic start. I can't recommend it enough. Thanks Fred!,Beautiful 1200 SQFT East Side Loft!,13096,Frederick
6251,24195,1/17/2010,Travis,This place was stellar! I've always rented from individuals instead of getting a hotel when I'm in Austin (Keep Austin Weird..) This was by far the most clean and comfortable spot I've stayed in. The view off the balcony is fantastic. Enjoy a bottle of Dom like we did and wear a smile on your face! Thanks again Fred!  ,Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,24587,1/22/2010,Vinisha,The apt was clean comfortable and cosy. Sylvia was very accommodating.,Walk to 6th St and Convention Ctr,8028,Sylvia
5456,24721,1/24/2010,Christine,I'm late in posting this but that is no indication of how my stay went.  it was fantastic!  Sylvia is more than accommodating just like everyone else has mentioned.  it's all true. not only did she pick me up downtown she took me to the airport for $10 and then when i realized i left my iphone in the apartment she went to GREAT lengths to send it back to me.  i almost had a panic attack when i realized i left it there but was only consoled in the fact that at least it was in very good hands.  the apartment itself was perfect with plenty of windows free coffee etc.  i would definitely stay again. Thanks Sylvia!  sorry for the late review.,Walk to 6th St and Convention Ctr,8028,Sylvia
7679,25706,2/8/2010,Barbara,We has a wonderful stay with Joep and Courtney. They were excellent hosts anticipating our every need and giving us lots of info about the City and restaurants of Austin. Great place to stay whenever you're in town and centrally located to everything!,North Austin garden haven,17333,Joep And Courtney
5245,26088,2/14/2010,Tina,Paddy was very professional but also friendly. The house was lovely the location was really perfect and her dog Diego is very cute.,Green colorful clean & cozy home,2466,Paddy
8502,26868,2/19/2010,T.J.,"The place was nice it was like a disco in the shower and they had real nice towels fresh flowers and it was clean.  With that being said the door didn't lock.  We didn't have any problems but being from out of town it would of been nice to lock the door.  We would totally stay there again once the door is fixed.
Mad love  T.",Woodland Studio Lodging,25298,Karen
6251,26932,2/20/2010,Jay,It was a really cool place. I would recommend this place to anyone. Nice location nice view. We had a great time!,Beautiful 1200 SQFT East Side Loft!,13096,Frederick
5456,27248,2/22/2010,Jeremy,Another fantastic stay! Sylvia is a great host.,Walk to 6th St and Convention Ctr,8028,Sylvia
5456,27738,2/27/2010,Jessica,The studio is charming and cheerful and Sylvia and her four dogs (who stayed mostly in the main house but were there to greet us when we arrived :))were very welcoming. The location is convenient and Sylvia provided every ammenity we could need including not just a space heater in the main room but thoughtfully one in the bathroom too. Thanks Sylvia!,Walk to 6th St and Convention Ctr,8028,Sylvia
14577,27846,2/28/2010,Christy,We enjoyed our stay so much!!!  It was wonderful to stay in a house versus a hotel room to experience Austin.  Especially with a baby and a dog!  Thank you for providing these charming guest cottages!  Hope to come back.,Verde Camp / South Congress 1BR + ,57304,Bj
5456,28538,3/7/2010,Michael,Cozy and clean place.  It was close to I-35 so that was convenient.,Walk to 6th St and Convention Ctr,8028,Sylvia
6251,28718,3/8/2010,Angie,Fred's place is great and he is an excellent host. We couldn't figure out the espresso machine so we sent him a text message for direction. Instead of just telling us how to fix it he went over while we were out set up the machine and left us a pound of coffee. It was like we were at the Ritz except our place was three times as big as a hotel room and came with a washer/dryer and a panini press. You can't go wrong chez Fred.,Beautiful 1200 SQFT East Side Loft!,13096,Frederick
7679,29646,3/15/2010,Faye,Joep and Courtney are lovely people with a clean bright home. They were very friendly and hospitable and went out of their way to make lists of area restaurants for me along with and other nice touches. Reasonably priced morning yoga sessions with Courtney were much appreciated. Their home is a very inviting place to stay especially if you're into eco stuff because they're very conservation-oriented and Joep is an environmental consultant. ,North Austin garden haven,17333,Joep And Courtney
22982,29830,3/16/2010,Shai,This is a great place about 2 miles from downtown Austin.  Gina is friendly and was very responsive to calls/emails.  The place was spacious had 2 bedrooms and was very clean.  They don't have wifi access so that is only downside.  If they install wifi I would likely stay there again.,Private Clarksville $160/nt ,89031,Gina
6251,29786,3/16/2010,Daniel,Fred's place was fantastic this place will take your breath away when you enter. Fred was helpful when I had problems getting in and as an artist the community had a very art-driven vibe to it. Highly recommended,Beautiful 1200 SQFT East Side Loft!,13096,Frederick
6251,30478,3/21/2010,Eric,"Great place - great host. I had never used airbnb before but stumbled on it out of a lack of available hotels around SXSW. 

The place was great - perfect size to comfortable stay with one other person. It helped on our expenses to have a kitchen.

Really good location for SXSW - when cabs are sparse it was only a 30 minute walk or 15 minute ride on a rickshaw.

Definitely a 5 out of 5. ",Beautiful 1200 SQFT East Side Loft!,13096,Frederick
